NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
         Workers' Compensation,615,644,705,742,807,870,991,"1,100","1,244","1,372","1,532","1,570","1,715","2,051","2,382","2,669","3,031","3,506","4,026","4,945","5,606","6,189","6,929","7,285","7,661","8,937","10,083","11,957","13,816","15,519","17,530","18,958","21,100","22,607","22,189","21,914","22,050","22,141","23,063","24,183","26,479","30,490","34,136","38,595","39,882","41,534","41,775","41,333","40,043","36,177","36,529","39,747","42,447","45,358","47,474","48,131","48,542","47,831","48,464","47,525","44,553"
         General Assistance,102,110,102,103,112,122,182,240,299,359,417,477,582,691,827,"1,000","1,131","1,281","1,358","1,548","1,899","2,226","2,437","2,649","2,875","3,189","3,422","3,552","3,742","4,138","5,032","5,187","5,531","5,037","5,451","5,437","5,414","5,167","4,928","3,874","3,940","4,819","5,138","5,591","5,969","6,303","6,758","6,980","7,184","7,240","7,063","6,655","6,380","6,665","6,857","6,743","6,173","5,871","6,127","6,314","6,543"
         Maternal/Child Health,116,172,180,201,220,244,291,324,377,435,409,453,482,467,525,565,619,665,701,775,864,879,935,"1,081","1,111","1,290","1,391","1,510","1,580","1,631","1,693","1,934","2,146","2,298","2,443","2,533","2,644","2,813","2,900","3,002","3,158","3,271","3,393","3,477","3,469","3,436","3,334","3,763","4,147","3,947","3,913","3,674","3,422","3,544","3,841","3,808","3,705","3,856","3,946","3,845","3,927"
                          Federal  ,27,44,48,50,60,80,114,142,167,190,148,191,234,204,243,276,297,311,330,339,344,339,343,398,348,407,395,433,459,476,478,518,565,578,594,587,580,582,588,603,609,619,636,634,635,622,598,600,594,591,591,583,562,545,569,571,570,571,584,586,598
                          State and Local,89,127,133,150,159,164,176,182,210,244,261,263,248,264,282,290,322,354,371,436,520,540,593,683,763,883,996,"1,078","1,121","1,155","1,216","1,416","1,581","1,720","1,850","1,946","2,064","2,231","2,312","2,399","2,549","2,652","2,757","2,843","2,834","2,815","2,736","3,163","3,552","3,356","3,322","3,091","2,860","3,000","3,272","3,237","3,135","3,285","3,362","3,259","3,329"
         Vocational Rehabilitation,20,22,25,29,33,41,58,88,115,131,155,180,184,190,202,210,210,219,220,224,223,229,233,246,257,262,270,289,300,308,318,332,343,338,360,360,352,367,378,389,421,449,463,469,468,461,498,497,489,518,558,552,530,523,526,536,545,547,559,575,583
                          Federal  ,12,14,15,18,20,27,42,66,86,100,121,140,144,149,158,164,163,170,168,171,170,172,172,183,195,200,207,223,232,238,246,257,264,253,271,271,263,276,286,293,317,342,355,359,361,355,377,373,374,398,435,432,411,405,406,412,420,421,430,443,451
                          State and Local,8,8,10,11,13,15,16,22,29,31,34,40,40,41,44,46,48,49,52,53,53,57,61,62,62,62,63,66,68,70,72,75,79,85,89,89,89,91,92,96,104,107,108,110,106,106,121,124,115,120,122,120,119,118,120,123,125,126,129,132,132
         Other Federal Programs*,337,447,598,715,750,831,653,463,489,621,927,"1,102",963,980,"1,086",695,823,854,948,"1,116","1,343","1,334","1,184","1,044","1,065","1,108","1,133","1,197","1,271","1,331","1,556","1,844","2,050","2,265","2,472","2,552","2,841","3,118","3,395","3,855","4,462","5,295","5,676","6,015","6,272","6,363","6,421","6,721","6,923","7,299","7,737","9,559","11,576","12,961","12,185","12,551","12,351","12,212","12,844","14,033","193,934"
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,569,537,581,689,663,825,799,636,599,607,515,533,644,884,698,"1,372","1,656","1,685","1,714","1,889","2,067","1,783","1,500","2,026","2,395","2,564","2,812","3,006","3,093","3,125","3,219","3,153","3,166","3,206","3,309","3,385","3,448","3,420","3,284","3,495","3,480","3,752","4,497","5,613","5,638","5,646"
         Other State and Local Programs**,"2,221","2,399","2,510","2,773","3,013","3,392","3,093","2,661","2,944","3,226","3,589","3,682","3,839","4,296","4,922","5,321","5,227","5,662","6,319","7,074","7,389","8,454","9,151","9,546","9,600","10,134","12,434","13,736","14,806","15,024","15,894","16,131","16,018","17,313","18,435","17,502","17,343","17,953","18,515","18,831","18,740","20,352","21,762","23,882","25,758","26,926","27,529","28,593","29,524","30,502","32,082","31,321","30,047","30,182","29,667","30,759","31,014","30,955","31,548","33,029","34,051"
         School Health,122,140,147,143,151,168,187,215,242,263,290,308,321,346,377,400,433,509,559,600,663,708,753,795,847,919,986,"1,040","1,099","1,185","1,293","1,363","1,416","1,553","1,701","1,785","1,890","2,037","2,197","2,330","2,483","2,689","2,888","3,032","3,193","3,363","3,569","3,895","4,089","4,201","4,293","4,282","4,321","4,418","4,599","4,830","5,033","5,314","5,562","5,812","5,580"
     Public Health Activity,371,409,456,509,572,621,733,861,969,"1,174","1,356","1,676","1,855","2,123","2,584","2,967","3,213","3,815","4,588","5,375","6,445","7,531","8,621","9,251","9,842","11,212","12,387","13,572","15,267","17,773","19,997","22,129","24,374","26,779","29,594","31,003","32,377","34,832","37,457","40,731","43,050","46,792","52,201","54,228","54,934","57,252","60,892","65,969","71,559","74,191","75,696","74,425","77,188","81,482","84,365","85,497","89,982","96,162","99,725","104,964","223,705"
                          Federal  ,102,108,140,208,226,214,294,401,470,564,594,791,893,854,969,"1,043","1,110","1,152","1,154","1,108","1,235","1,216","1,141","1,232","1,298","1,326","1,340","1,529","1,795","2,028","2,263","2,607","2,915","3,167","3,630","3,665","3,759","3,931","4,065","4,546","4,879","5,779","8,018","8,899","8,958","9,169","9,513","9,696","9,880","11,995","14,185","10,729","10,846","10,333","10,833","11,329","11,781","12,603","12,055","13,292","128,196"
                          State and Local,269,302,316,301,347,407,439,460,499,610,762,885,962,"1,269","1,615","1,924","2,104","2,663","3,434","4,267","5,210","6,316","7,480","8,019","8,544","9,886","11,047","12,043","13,472","15,745","17,734","19,522","21,459","23,613","25,964","27,338","28,618","30,901","33,392","36,185","38,170","41,013","44,184","45,329","45,977","48,083","51,378","56,274","61,680","62,196","61,511","63,696","66,342","71,149","73,531","74,168","78,202","83,559","87,670","91,672","95,509"
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,"3,146","8,065","9,759","11,220","12,962","15,138","17,639","20,153","24,501","29,782","34,883","40,354","46,133","53,254","63,419","75,077","84,361","94,825","104,440","112,766","122,212","133,420","144,045","163,089","183,842","213,827","244,183","272,338","302,084","329,255","350,919","371,226","378,832","398,366","428,225","475,986","518,975","557,928","609,032","656,679","718,738","767,728","821,578","884,442","928,440","963,330","1,003,701","1,047,358","1,128,928","1,205,630","1,257,382","1,301,405","1,364,474","1,435,687","1,521,988"
Personal Health Care,"23,124","24,624","26,530","28,976","31,825","34,421","38,009","42,989","48,624","54,871","62,369","68,700","76,389","85,344","97,827","112,110","128,091","145,122","162,402","184,912","214,321","248,626","279,493","308,006","337,879","372,633","405,373","444,420","495,055","547,023","611,967","672,711","728,437","775,720","817,952","866,811","915,029","966,064","1,019,653","1,079,208","1,157,014","1,257,063","1,366,087","1,476,505","1,582,999","1,694,411","1,806,963","1,922,157","2,007,967","2,106,233","2,181,261","2,254,675","2,346,962","2,405,667","2,527,325","2,674,089","2,795,322","2,905,160","3,021,796","3,175,230","3,357,832"
     Out of pocket,"12,778","13,193","14,085","15,171","16,669","17,863","18,132","17,985","19,951","21,911","24,208","25,515","27,805","30,737","33,311","36,036","39,281","43,137","46,043","49,929","55,258","61,932","68,606","74,660","82,417","91,566","99,655","105,844","116,236","122,598","133,747","136,739","139,092","140,191","138,193","140,732","145,990","156,039","170,902","180,805","193,476","200,791","219,050","235,051","248,336","264,417","277,900","293,508","299,905","296,506","301,306","310,012","323,020","330,632","340,298","352,917","365,609","372,568","386,536","403,683","388,646"
     Health Insurance,"6,551","7,200","7,861","8,709","9,668","10,500","13,886","19,219","22,087","25,457","29,385","33,684","38,456","43,446","51,668","61,559","72,416","83,817","95,588","111,126","130,837","154,040","174,564","194,052","212,961","233,152","251,247","278,203","310,394","351,348","398,093","449,835","497,801","539,376","580,455","622,764","661,426","695,789","723,899","769,433","832,710","919,635","1,004,310","1,087,622","1,173,374","1,261,257","1,350,140","1,436,262","1,516,933","1,611,087","1,669,894","1,732,423","1,797,590","1,839,428","1,947,978","2,075,020","2,168,961","2,257,204","2,349,122","2,472,121","2,491,052"
          Private Health Insurance,"4,878","5,444","6,053","6,782","7,763","8,563","8,694","8,895","10,003","11,781","13,800","15,526","17,388","19,423","23,014","27,203","32,481","38,163","43,668","51,643","60,277","71,032","81,131","89,794","98,401","109,564","117,240","132,317","153,656","175,298","200,076","220,586","238,206","251,548","264,327","280,480","296,659","313,836","335,485","360,863","394,577","432,720","472,439","511,490","545,344","586,884","618,278","655,932","679,306","708,960","725,102","752,264","778,419","779,383","814,484","869,085","917,697","956,734","990,865","1,036,072","1,000,234"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,"1,722","4,731","5,931","6,735","7,276","8,036","8,851","10,182","12,748","15,610","18,815","22,136","25,666","29,900","36,260","43,457","51,060","58,116","64,599","69,760","74,714","80,875","86,313","98,167","107,136","117,123","132,191","145,978","163,101","179,427","193,018","203,362","201,562","206,035","216,333","239,111","256,551","274,001","300,096","326,278","382,298","408,709","442,013","470,087","488,820","511,849","533,641","553,568","579,475","606,249","628,875","658,998","696,557","744,924","754,521"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,"1,252","3,019","3,385","3,984","5,039","6,411","7,973","9,013","10,590","12,839","14,429","16,520","18,406","21,134","24,697","28,795","30,418","33,486","36,181","38,761","43,019","47,719","52,173","58,651","69,693","88,921","103,417","116,453","126,856","136,250","144,510","151,352","158,316","171,281","186,943","208,435","230,096","249,447","270,746","287,581","283,315","301,114","317,890","346,347","365,707","373,684","388,256","405,666","446,921","484,506","503,382","516,067","531,782","552,953","586,914"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,605,"1,461","1,753","2,195","2,708","3,643","4,360","4,697","5,994","7,048","8,661","9,317","10,220","11,906","13,692","15,930","16,811","18,527","19,891","21,270","23,777","26,376","29,339","33,168","40,330","54,409","66,021","73,680","77,341","81,742","86,876","89,651","92,721","100,296","109,322","123,488","135,177","149,729","161,139","165,454","161,510","171,855","188,329","230,714","247,234","228,199","223,747","234,204","274,289","304,687","317,932","323,087","331,849","349,072","403,008"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,647,"1,558","1,632","1,788","2,331","2,767","3,612","4,316","4,596","5,790","5,768","7,203","8,186","9,228","11,006","12,865","13,608","14,959","16,289","17,491","19,242","21,344","22,834","25,483","29,364","34,512","37,396","42,774","49,515","54,507","57,635","61,701","65,594","70,985","77,622","84,948","94,919","99,718","109,607","122,127","121,804","129,259","129,562","115,633","118,473","145,485","164,508","171,462","172,632","179,819","185,450","192,981","199,932","203,880","183,906"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,349,"1,489","2,530","3,491","4,569","5,305","6,150","6,449","7,189","7,771","8,696","9,533","9,706","10,036","10,696","11,364","10,862","12,138","13,870","15,113","15,461","16,707","17,172"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,241,"1,036","1,762","2,442","3,197","3,720","4,275","4,477","4,944","5,383","6,071","6,713","6,776","7,020","7,442","7,884","7,583","9,045","12,616","13,794","14,286","15,068","14,337"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,108,453,768,"1,048","1,372","1,585","1,875","1,971","2,245","2,388","2,626","2,820","2,930","3,016","3,254","3,480","3,279","3,093","1,254","1,319","1,175","1,638","2,835"
         Department of Defense,786,834,858,923,859,830,"1,077","1,319","1,436","1,489","1,569","1,749","1,976","2,210","2,449","2,563","2,666","2,890","3,035","3,423","3,912","4,546","5,105","5,320","5,774","6,796","7,552","8,103","8,667","9,144","10,293","11,406","11,453","11,853","11,639","11,842","11,744","11,819","11,924","12,330","13,324","14,885","17,987","21,021","23,289","24,479","27,384","29,667","31,407","33,780","34,873","36,452","36,851","36,659","38,341","38,589","38,089","38,883","39,093","40,269","41,214"
         Department of Veterans Affairs,887,922,950,"1,004","1,046","1,108","1,141","1,256","1,332","1,468","1,701","1,962","2,268","2,619","2,867","3,344","4,025","4,108","4,813","5,026","5,690","6,210","6,850","7,336","8,006","8,271","8,722","9,189","9,585","10,088","10,895","11,800","12,534","13,544","14,532","14,765","15,495","15,420","16,264","17,436","19,002","20,993","22,669","26,359","27,748","29,587","31,677","33,070","37,620","42,380","45,687","48,138","49,728","52,787","57,895","64,453","67,047","71,409","75,365","81,196","90,996"
     Other Third Party Payers and Programs,"3,794","4,232","4,584","5,095","5,488","6,058","5,991","5,785","6,586","7,503","8,777","9,501","10,128","11,160","12,849","14,515","16,393","18,168","20,771","23,858","28,226","32,654","36,323","39,294","42,501","47,915","54,471","60,374","68,425","73,078","80,126","86,137","91,544","96,153","99,304","103,316","107,613","114,236","124,852","128,970","130,829","136,637","142,727","153,832","161,289","168,736","178,923","192,386","191,129","198,641","210,062","212,240","226,353","235,607","239,049","246,153","260,752","275,388","286,138","299,426","478,134"
         Worksite Health Care,62,66,71,78,87,97,110,128,147,171,196,217,246,281,327,373,448,530,617,719,826,953,"1,041","1,156","1,306","1,393","1,522","1,685","1,867","2,035","2,228","2,343","2,484","2,610","2,731","2,863","2,975","3,112","3,220","3,323","3,518","3,655","3,775","3,925","4,102","4,282","4,389","4,542","4,537","4,564","4,697","4,886","5,157","5,352","5,680","6,167","6,658","6,921","7,192","7,566","5,416"
         Other Private Revenues,408,456,506,580,668,772,867,986,"1,220","1,458","1,780","1,998","2,306","2,475","2,868","3,205","4,433","4,988","6,125","7,345","9,960","12,310","14,590","16,219","18,036","21,146","23,721","26,346","30,861","32,708","34,785","37,562","40,471","43,366","45,493","50,205","54,412","59,513","67,497","69,685","69,211","68,640","70,924","76,940","81,090","86,138","95,115","105,309","99,600","105,970","114,373","114,576","128,246","135,915","139,061","144,161","157,720","171,066","177,710","187,433","188,877"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,190,247,297,363,399,435,498,487,540,629,698,697,740,784,772,960,"1,164","1,386","1,433","1,442","1,590","1,567","1,659","1,632","1,680","1,815","2,013","2,030","2,194","2,320","2,342","2,432","2,469","2,626","2,970","3,327","3,379","3,499","3,427","3,538","3,548","3,671","3,727","3,930","3,981","4,353"
         Workers' Compensation,435,460,495,525,565,600,681,751,830,922,"1,052","1,131","1,253","1,482","1,765","2,038","2,379","2,687","2,981","3,512","3,925","4,400","5,030","5,570","6,317","7,421","8,528","9,805","11,413","13,432","15,199","16,846","18,261","18,508","17,188","16,728","16,711","17,311","18,491","19,954","20,886","23,044","24,093","25,640","25,952","26,328","26,155","26,914","29,270","28,604","29,370","30,986","31,457","32,347","32,394","31,777","31,699","31,280","32,006","32,068","30,092"
